	Static	Dynamic	NearestNeighbor
21	0.6999998542894452	0.08224674022066199	0.23411371237458195
100	0.6589504748688053	0.0660377358490566	0.38461538461538464
56	0.7136197700227362	0.08520179372197309	0.40625
80	0.40578818436530695	0.03773584905660377	0.6904761904761905
19	0.7204130354971725	0.044897959183673466	0.33126934984520123
64	0.73662513096685	0.09	0.3620689655172414
13	0.865010783499587	0.10355815188528943	0.25149700598802394
32	0.6263289143610682	0.051233396584440226	0.5490196078431373
45	0.5333859094688305	0.02528735632183908	0.6020408163265306
38	0.6840410122724335	0.15447154471544716	0.30952380952380953
77	0.8163726615110475	0.1347517730496454	0.38636363636363635
99	0.6083687395409277	0.0759493670886076	0.2222222222222222
6	0.6689510509713501	0.05367231638418079	0.42857142857142855
70	0.2923860124796458	0.045454545454545456	0.375
94	0.052511708847905236	0.0	1.0
42	0.5049838193728606	0.040106951871657755	0.5175438596491229
35	0.6083109047166286	0.03233830845771144	0.453125
48	0.13875545284857815	0.008771929824561403	0.9761904761904762
69	0.6419054096131864	0.11971830985915492	0.4807692307692308
87	0.4102632362130737	0.1568627450980392	0.3235294117647059
14	0.7997856982345478	0.04658901830282862	0.24789915966386555
63	0.5608529422883733	0.028735632183908046	0.5689655172413793
51	0.800943026338994	0.10588235294117647	0.2839506172839506
26	0.6718081848838094	0.1732283464566929	0.16568047337278108
55	0.6242177267149361	0.1610738255033557	0.1746031746031746
22	0.11249859188781175	0.0	1.0
28	0.6201884315430348	0.08070866141732283	0.225
89	0.4703319855759913	0.041237113402061855	0.6470588235294118
10	0.6036317172585008	0.1703767123287671	0.3428063943161634
67	0.13999797765807032	0.006622516556291391	0.9777777777777777
83	0.6583522753222495	0.08547008547008547	0.28205128205128205
46	0.051433738190075906	0.0	1.0
31	0.6447348034032836	0.045075125208681135	0.3708609271523179
5	0.6950515484062126	0.10651267244145012	0.4236983842010772
90	0.7645367425755272	0.14736842105263157	0.30303030303030304
74	0.8579861339185768	0.09815950920245399	0.2391304347826087
97	0.5152657000166496	0.08888888888888889	0.2962962962962963
79	0.1701574797040507	0.02586206896551724	0.675
73	0.6272261106908266	0.07086614173228346	0.4444444444444444
8	0.7826804456810386	0.15037243947858472	0.18998272884283246
2	0.835465218460988	0.10372368748003266	
36	0.6095581141358797	0.04363001745200698	
60	0.5447210251227779	0.049019607843137254	
17	0.8606110238308848	0.13767518549051938	
84	0.6268080599609369	0.0782608695652174	
52	0.6989293321036787	0.13953488372093023	
58	0.5889482527295071	0.047244094488188976	
62	0.7739871487777913	0.08290155440414508	
15	0.7374980365789816	0.08076275939427931	
68	0.6981130439404433	0.16042780748663102	
86	0.5326663494602121	0.05434782608695652	
27	0.3029361046696316	0.0033500837520938024	
95	0.31114343085879315	0.05263157894736842	
71	0.7746091543483271	0.10256410256410256	
49	0.4612123585361203	0.01929260450160772	
34	0.6621485787110548	0.05370843989769821	
43	0.7727533304312129	0.09090909090909091	
44	0.40552632840854397	0.030434782608695653	
33	0.8007772500374761	0.14102564102564102	
92	0.45928719954231567	0.06481481481481481	
76	0.6772085509979693	0.07058823529411765	
98	0.7876438230379029	0.08823529411764706	
7	0.3667800084023758	0.05178416013925152	
57	0.13328100000386578	0.005263157894736842	
20	0.42593771482489284	0.05362776025236593	
12	0.7164888180832483	0.04196642685851319	
85	0.2889375693167484	0.0	
61	0.6469643872870585	0.08372093023255814	
59	0.6574894828612017	0.11834319526627218	
72	0.4773651065621132	0.03680981595092025	
96	0.10522536891530976	0.0	
78	0.0524238489672435	0.0	
9	0.8734701838924595	0.1513903192584964	
40	0.6093467696778362	0.10191082802547771	
37	0.7214487390909456	0.15261044176706828	
47	0.3523667905047285	0.008791208791208791	
4	0.7625633322419106	0.06368821292775666	
75	0.8744611332854495	0.34234234234234234	
91	0.6707493554521893	0.10619469026548672	
29	0.04966585158260828	0.0	
23	0.6001903464186678	0.037516170763260026	
54	0.7468753234104071	0.1524822695035461	
82	0.6370484647131405	0.08396946564885496	
11	0.8489228918130305	0.07527443805541036	
