	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23
0	2	0	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	-	-	-	-	-	-
1	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	0	3	0	0	2	0	0	0	0
2	3	0	3	-	-	-	-	-	-	3	0	0	3	0	0	3	0	0	2	3	2	2	2	2
3	-	-	-	0	2	2	-	-	-	-	-	-	4	2	2	4	0	3	-	-	-	-	-	-
4	3	0	0	-	-	-	-	-	-	0	0	2	2	3	3	0	0	0	3	4	3	3	0	0
5	3	0	0	-	-	-	-	-	-	0	0	0	2	3	3	-	-	-	4	2	0	4	0	0
6	4	2	3	3	2	2	0	0	3	-	-	-	0	2	2	0	0	3	-	-	-	-	-	-
7	5	3	0	0	2	2	3	3	3	-	-	-	2	2	2	5	4	4	-	-	-	-	-	-
8	2	0	2	2	2	0	2	4	2	2	3	0	2	2	2	2	2	2	-	-	-	-	-	-
9	0	4	4	0	2	0	2	0	2	0	0	0	2	2	2	6	5	5	-	-	-	-	-	-
10	-	-	-	4	2	0	2	5	2	4	4	3	5	2	2	-	-	-	-	-	-	-	-	-
11	2	0	2	-	-	-	2	0	2	2	0	4	2	2	2	2	2	2	-	-	-	-	-	-
12	0	0	0	0	2	0	2	0	2	0	0	5	2	2	2	6	5	5	-	-	-	-	-	-
13	2	0	5	5	2	3	2	0	2	0	0	6	2	2	2	0	0	6	-	-	-	-	-	-
14	0	4	4	3	0	4	0	0	4	-	-	-	6	2	2	6	0	0	5	5	0	0	0	3
15	3	0	0	-	-	-	-	-	-	0	5	0	0	3	3	-	-	-	0	2	0	0	3	0
16	3	5	0	3	0	0	-	-	-	0	0	7	2	3	4	6	0	0	0	2	0	5	0	0
17	5	3	6	4	2	0	2	2	2	-	-	-	0	2	2	-	-	-	-	-	-	-	-	-
18	5	3	0	3	2	2	0	0	3	-	-	-	0	2	2	7	6	3	-	-	-	-	-	-
19	-	-	-	4	2	5	2	2	2	0	4	0	7	2	2	-	-	-	-	-	-	-	-	-
20	2	6	0	3	2	0	2	6	2	-	-	-	8	2	2	8	0	0	-	-	-	-	-	-
21	6	0	0	-	-	-	4	7	0	-	-	-	0	2	2	0	7	7	-	-	-	-	-	-
22	3	0	2	-	-	-	-	-	-	0	0	8	2	3	3	-	-	-	0	2	4	0	0	4
23	5	3	0	6	2	2	3	0	3	-	-	-	2	2	2	5	4	4	-	-	-	-	-	-
24	3	0	0	0	0	2	-	-	-	-	-	-	7	3	3	9	8	0	0	2	0	-	-	-
25	0	0	7	0	2	0	2	0	2	0	0	5	2	2	2	6	5	5	-	-	-	-	-	-
26	2	0	2	4	2	6	2	0	2	5	4	3	2	2	2	6	0	0	-	-	-	-	-	-
27	-	-	-	-	-	-	2	0	2	6	0	0	2	2	2	6	0	8	-	-	-	-	-	-
28	2	7	2	4	2	0	2	0	2	0	4	3	2	2	2	-	-	-	-	-	-	-	-	-
29	0	0	6	4	2	0	2	0	2	0	4	0	0	2	2	0	3	9	-	-	-	-	-	-
30	2	7	2	4	2	0	2	0	2	0	4	3	2	2	2	4	0	0	-	-	-	-	-	-
31	3	0	6	4	2	0	2	0	2	2	4	0	0	2	2	-	-	-	-	-	-	-	-	-
32	-	-	-	-	-	-	-	-	-	0	0	0	2	3	3	0	0	0	0	2	4	0	0	4
33	7	2	0	0	2	2	5	0	3	-	-	-	2	2	2	4	0	3	-	-	-	-	-	-
34	0	0	0	0	2	2	5	0	3	-	-	-	9	2	2	6	3	3	-	-	-	-	-	-
35	0	0	2	6	0	7	6	0	5	2	6	0	-	-	-	0	0	7	-	-	-	-	-	-
36	6	5	0	7	2	0	0	0	3	-	-	-	0	2	2	0	7	7	-	-	-	-	-	-
37	0	8	0	4	2	8	-	-	-	5	4	3	10	2	2	6	9	7	-	-	-	-	-	-
38	3	0	2	-	-	-	-	-	-	0	0	0	0	3	3	6	5	5	-	-	-	6	0	0
39	3	0	2	-	-	-	-	-	-	0	0	0	0	3	3	0	0	0	0	2	4	0	0	4
40	2	7	2	4	2	0	2	6	2	0	4	3	2	2	2	-	-	-	-	-	-	-	-	-
41	6	0	2	8	2	0	7	8	0	-	-	-	7	2	2	0	7	7	-	-	-	-	-	-
42	0	8	2	4	2	7	2	0	2	0	4	3	2	2	2	-	-	-	-	-	-	-	-	-
43	5	3	0	0	2	2	8	0	3	-	-	-	11	2	2	7	6	3	-	-	-	-	-	-
44	0	0	0	0	2	0	2	0	2	0	0	0	2	2	2	6	5	5	-	-	-	-	-	-
45	-	-	-	0	2	0	4	7	6	-	-	-	2	2	2	10	7	7	-	-	-	-	-	-
46	6	9	0	0	2	3	0	0	0	-	-	-	2	2	2	6	7	7	-	-	-	-	-	-
47	0	8	0	4	2	0	2	2	2	2	4	3	0	2	2	0	0	10	-	-	-	-	-	-
48	8	0	0	9	2	2	0	2	3	-	-	-	12	2	2	-	-	-	-	-	-	-	-	-
49	2	0	2	2	2	0	2	0	2	2	0	0	2	2	2	2	2	2	-	-	-	-	-	-
50	9	10	5	3	2	2	0	0	3	-	-	-	0	2	2	4	10	3	-	-	-	-	-	-
51	3	0	0	10	0	0	-	-	-	0	7	2	2	3	3	9	8	0	0	2	0	-	-	-
52	6	0	0	0	2	9	5	0	0	-	-	-	7	2	2	0	7	7	-	-	-	-	-	-
53	7	2	0	6	2	2	5	0	3	-	-	-	2	2	2	4	0	3	-	-	-	-	-	-
54	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	0	3	0	0	2	0	7	3	0
55	3	0	0	6	0	0	-	-	-	0	0	0	0	0	0	0	0	0	6	6	5	0	4	5
56	4	2	0	3	2	2	0	0	3	-	-	-	2	2	2	0	0	3	-	-	-	-	-	-
57	2	7	2	4	2	0	2	0	2	0	4	3	2	2	2	0	0	0	-	-	-	-	-	-
58	2	7	0	4	2	0	2	0	2	6	4	3	2	2	2	-	-	-	-	-	-	-	-	-
59	0	8	8	4	2	3	2	9	2	4	4	3	7	2	2	-	-	-	-	-	-	-	-	-
60	2	7	2	4	2	0	2	0	2	0	4	3	-	-	-	0	0	0	-	-	-	-	-	-
61	10	8	9	4	2	0	2	0	2	0	4	3	2	2	2	11	0	11	-	-	-	-	-	-
62	11	0	0	11	2	10	2	0	2	-	-	-	2	2	2	6	0	0	-	-	-	-	-	-
63	10	11	0	0	2	2	9	0	3	-	-	-	2	2	2	6	11	3	-	-	-	-	-	-
64	0	0	2	4	2	0	2	5	2	2	4	3	11	2	2	4	0	12	-	-	-	-	-	-
65	2	12	0	4	2	6	2	0	2	7	4	3	11	2	2	12	0	0	-	-	-	-	-	-
66	0	13	2	6	0	7	6	0	5	2	0	0	-	-	-	-	-	-	-	-	-	-	-	-
67	0	14	0	3	2	2	10	0	3	-	-	-	0	2	2	10	0	3	-	-	-	-	-	-
68	-	-	-	12	2	0	-	-	-	-	-	-	13	2	2	6	0	0	-	-	-	-	-	-
69	3	0	0	10	0	0	-	-	-	0	0	2	2	3	3	9	8	0	0	2	0	-	-	-
70	11	15	10	13	3	11	11	10	7	-	-	-	2	2	2	6	0	0	-	-	-	-	-	-
71	2	0	0	4	2	0	2	0	2	0	4	3	2	2	2	13	12	0	-	-	-	-	-	-
72	2	0	2	2	2	0	2	0	2	2	3	0	2	2	2	2	2	2	-	-	-	-	-	-
73	2	8	0	4	2	12	2	0	2	0	4	3	2	2	2	0	13	8	-	-	-	-	-	-
74	-	-	-	4	2	6	2	0	2	0	4	3	2	2	2	14	14	13	-	-	-	-	-	-
75	4	2	0	3	2	2	7	8	3	-	-	-	0	2	2	7	6	3	-	-	-	-	-	-
76	0	16	0	4	2	0	2	0	2	6	4	0	2	2	2	-	-	-	-	-	-	-	-	-
77	3	7	0	-	-	-	-	-	-	0	0	0	0	3	3	-	-	-	0	2	0	0	0	0
78	2	0	2	2	2	3	2	0	2	2	0	0	2	2	2	2	2	2	-	-	-	-	-	-
79	0	0	10	13	3	11	5	0	0	-	-	-	14	2	2	0	0	0	-	-	-	-	-	-
80	2	0	2	2	2	0	2	0	2	-	-	-	2	2	2	2	2	2	-	-	-	-	-	-
81	3	0	0	0	0	0	-	-	-	0	0	2	-	-	-	15	0	0	7	2	0	8	5	6
82	0	17	11	4	2	8	-	-	-	5	4	3	10	2	2	6	9	7	-	-	-	-	-	-
83	3	0	0	-	-	-	-	-	-	0	0	0	2	3	3	0	15	0	4	2	0	4	0	0
84	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	0	3	14	0	2	0	0	0	0
85	3	0	3	-	-	-	-	-	-	0	0	4	2	3	3	0	0	0	0	2	0	0	6	7
86	-	-	-	0	2	3	2	2	2	8	8	9	0	2	2	0	0	15	-	-	-	-	-	-
87	12	0	0	-	-	-	12	11	8	0	0	0	-	-	-	6	0	16	8	7	6	8	0	0
88	3	0	2	-	-	-	-	-	-	0	0	0	0	3	3	6	5	5	-	-	-	0	0	0
89	3	0	0	0	0	13	-	-	-	0	9	10	-	-	-	-	-	-	-	-	-	0	7	3
90	-	-	-	0	0	0	-	-	-	-	-	-	0	0	4	0	0	0	0	0	6	8	0	0
91	3	0	0	-	-	-	-	-	-	-	-	-	0	3	3	-	-	-	0	2	0	8	0	3
92	3	0	0	4	2	0	2	0	2	0	4	4	9	2	2	0	0	0	-	-	-	-	-	-
93	3	18	12	3	2	14	13	0	9	-	-	-	7	2	2	6	0	0	-	-	-	-	-	-
94	-	-	-	12	2	0	0	0	9	-	-	-	13	2	2	6	0	0	-	-	-	-	-	-
95	0	0	3	14	0	0	-	-	-	9	0	0	-	-	-	0	0	0	-	-	-	5	0	0
96	13	0	2	0	2	0	2	0	2	2	0	0	0	2	2	16	16	17	-	-	-	-	-	-
