	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	r51	r52	r53
0	0	0	2	0	0	2	2	2	0	2	0	2	2	2	0	0	0	2	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	-	-	-	-	-	-
1	2	0	0	2	0	0	3	0	0	-	-	-	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	-	-	-	2	0	0	0	0	0	0	0	2	-	-	-	-	-	-	2	2	2	0	2	0
2	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	2	2	2	0	0	0	0	0	0	2	0	2	0	0	-	-	-	2	2	0	0	0	0	0	0	2	0	2	2	-	-	-	2	0	0	0	2	0
3	0	2	3	-	-	-	0	2	2	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	2	-	-	-	0	0	3	-	-	-	0	0	2	0	0	2	2	0	0	2	0	0	0	2	0
4	0	0	0	0	0	0	3	0	0	-	-	-	0	0	2	0	0	2	0	0	2	0	0	0	-	-	-	2	0	0	-	-	-	2	0	0	-	-	-	0	0	2	-	-	-	-	-	-	2	2	2	0	2	0
5	-	-	-	3	2	0	-	-	-	-	-	-	-	-	-	-	-	-	0	0	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	0	0	0	2	0	0	2	-	-	-	-	-	-	-	-	-
6	0	0	4	0	0	0	0	2	0	-	-	-	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	-	-	-	0	0	0	0	0	0	0	0	2	0	0	2	-	-	-	-	-	-	0	2	0
7	-	-	-	0	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	2	0	2	0	0	-	-	-	0	0	0	0	3	0	0	0	2	0	0	2	-	-	-	2	0	0	-	-	-
8	0	0	0	0	0	3	0	2	2	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	2	2	2	2	0	0	0	2	0
9	-	-	-	0	0	3	-	-	-	2	0	0	-	-	-	0	0	2	0	0	0	-	-	-	0	2	0	-	-	-	-	-	-	0	0	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	2	0
10	0	0	0	0	0	3	0	2	2	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	2	0	0	2	0	0	0	2	0
11	0	0	0	4	0	0	0	0	0	0	0	3	3	0	0	0	0	2	0	0	0	2	0	0	0	3	0	3	0	0	-	-	-	-	-	-	3	0	0	0	0	2	0	0	2	0	0	3	2	0	0	0	2	0
12	0	0	0	0	0	0	0	2	0	2	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	-	-	-	0	0	0	0	0	0	0	0	2	0	0	2	-	-	-	2	0	3	-	-	-
13	0	3	0	0	0	0	0	2	0	2	0	0	2	0	0	-	-	-	0	2	0	0	0	3	0	2	0	2	0	0	-	-	-	0	0	0	4	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
14	0	0	0	-	-	-	0	2	0	2	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	0	0	-	-	-	2	2	0	0	0	0	-	-	-	0	0	2	-	-	-	2	0	0	0	2	0
15	0	0	0	0	0	0	0	2	2	2	0	0	-	-	-	0	0	2	0	0	0	-	-	-	0	2	2	2	0	0	-	-	-	0	0	0	0	4	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
16	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	3	2	0	0	0	4	0	0	0	0	0	0	0	-	-	-	3	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0
17	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	-	-	-	3	0	0	0	0	2	0	0	2	0	0	0	2	3	0	0	2	0
18	-	-	-	5	0	3	0	2	3	0	0	0	4	3	0	0	0	2	-	-	-	-	-	-	2	2	2	2	0	0	-	-	-	3	0	0	-	-	-	0	0	2	2	0	2	-	-	-	-	-	-	2	2	0
19	0	0	5	0	0	4	0	0	0	0	0	2	2	2	2	0	0	2	0	3	3	3	0	0	0	0	0	0	0	0	-	-	-	0	0	0	3	0	0	0	0	2	0	0	2	-	-	-	2	4	4	0	2	0
20	3	4	6	5	0	0	0	0	0	-	-	-	0	2	0	0	0	0	-	-	-	2	0	0	3	5	0	2	0	0	3	0	0	-	-	-	0	0	0	0	0	2	0	3	0	-	-	-	0	0	0	0	2	2
21	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	2	3	0	0	0	0	4	0	4	0	-	-	-	-	-	-	0	0	0	0	0	0	0	0	2	3	0	2	3	0	0	2	0	0	3	2	0
22	0	0	0	0	0	0	4	2	0	0	0	0	2	0	0	0	0	2	0	0	4	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	2	0	0	0	2	3
23	0	0	0	5	0	0	0	0	3	0	0	0	2	0	0	0	0	2	-	-	-	0	2	5	0	0	0	-	-	-	3	0	0	0	0	0	3	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0
24	2	0	0	6	0	0	-	-	-	-	-	-	-	-	-	-	-	-	0	4	5	0	0	2	-	-	-	0	2	4	-	-	-	0	0	0	-	-	-	0	0	2	-	-	-	-	-	-	-	-	-	-	-	-
25	4	5	0	0	0	0	0	2	0	2	0	2	2	0	0	0	0	2	0	0	0	0	0	2	0	2	0	2	0	0	-	-	-	0	0	0	-	-	-	0	0	2	0	0	2	0	0	0	2	0	0	4	2	0
26	-	-	-	6	3	0	0	0	0	3	0	2	-	-	-	0	0	2	0	0	6	2	0	0	-	-	-	0	0	0	-	-	-	4	0	0	-	-	-	0	0	2	-	-	-	-	-	-	2	0	0	-	-	-
27	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	-	-	-	0	0	0	3	0	0	0	0	2	3	0	2	0	3	0	2	0	0	0	2	0
28	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	4	0	3	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	0	0	2	4	0	2	0	0	0	-	-	-	0	2	0
29	-	-	-	0	0	0	0	2	0	0	0	0	2	0	0	-	-	-	0	5	0	4	3	6	4	2	3	2	0	0	-	-	-	2	0	2	0	0	0	0	0	2	0	0	2	-	-	-	2	0	0	2	2	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	-	-	-	0	0	2	3	0	2	0	0	0	2	0	0	0	2	0
31	0	0	0	0	4	0	0	2	4	0	0	0	2	0	0	-	-	-	0	0	0	0	0	0	0	2	0	2	0	0	-	-	-	0	0	0	0	0	3	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0
32	3	4	6	5	5	0	0	0	0	-	-	-	0	2	0	0	3	0	-	-	-	2	0	0	3	5	0	2	0	0	3	0	0	-	-	-	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	2	2
33	-	-	-	5	0	3	0	2	3	0	2	0	6	0	0	0	0	2	0	6	0	-	-	-	2	2	2	2	0	0	0	0	0	3	0	0	5	0	0	0	0	2	0	0	2	-	-	-	2	0	5	2	2	4
34	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	-	-	-	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	-	-	-	3	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0
35	0	0	0	0	0	0	0	3	0	-	-	-	2	0	0	0	0	2	3	0	0	-	-	-	0	0	2	0	0	0	0	0	2	0	0	0	3	0	0	0	0	2	0	0	2	-	-	-	2	5	0	0	2	0
36	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	0	0	2	0	0	2	-	-	-	-	-	-	0	2	0
37	0	0	0	0	4	0	2	2	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
38	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	3	0	2	4	0	0	2	0	0	0	2	0
39	-	-	-	0	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	4	-	-	-	0	0	0	0	0	0	0	4	0	0	0	2	0	0	2	0	4	0	2	0	0	0	2	0
40	0	6	0	0	0	0	0	2	0	0	3	0	2	0	0	0	0	2	0	7	0	0	0	0	0	2	0	2	0	0	-	-	-	0	0	0	0	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
41	0	0	4	0	0	0	0	0	0	0	0	2	2	0	0	-	-	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	2	3	0	2	-	-	-	-	-	-	0	2	0
42	5	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	3	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
43	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	2	0	0	0	0	0	0	0	0	0	2	5	0	3	-	-	-	-	-	-	0	2	0
44	2	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	3	0	2	0	2	0	0	-	-	-	0	0	0	0	6	0	0	0	2	0	4	2	-	-	-	2	0	0	0	2	0
45	-	-	-	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	3	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0
46	0	0	0	6	3	0	0	0	0	0	0	2	-	-	-	-	-	-	0	0	0	0	0	0	5	0	0	0	0	0	-	-	-	0	0	0	-	-	-	0	0	2	-	-	-	-	-	-	-	-	-	-	-	-
47	2	0	0	0	0	0	-	-	-	0	0	5	2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	-	-	-	0	0	0	3	0	0	0	0	2	0	0	2	5	0	0	2	0	0	0	2	0
48	0	0	0	6	3	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	3	0	0	0	0	2	-	-	-	0	0	0	2	0	0	-	-	-
49	6	7	0	0	6	0	0	2	0	-	-	-	2	0	0	0	0	2	0	0	0	0	0	0	2	2	2	2	0	0	0	3	0	4	0	0	0	7	4	0	0	2	0	0	2	-	-	-	2	0	3	0	2	0
50	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
51	5	0	0	8	7	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	3	0	0	0	0	2	3	3	2	0	0	4	2	0	0	4	2	0
52	0	0	0	0	0	3	0	2	2	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	-	-	-	0	0	2	0	4	0	0	0	2	3	0	2	0	4	0	2	0	0	0	2	0
53	0	0	0	0	0	0	5	0	0	0	0	3	4	0	0	0	0	2	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	-	-	-	3	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
54	0	0	0	0	0	0	0	2	0	2	4	6	2	4	0	0	0	2	0	0	0	0	0	0	0	2	5	2	0	0	-	-	-	0	0	0	0	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
55	0	0	0	0	0	0	0	2	2	2	5	7	-	-	-	0	0	2	0	0	0	-	-	-	0	2	0	2	0	0	-	-	-	0	0	0	3	4	0	0	0	2	-	-	-	-	-	-	2	0	0	0	2	0
56	0	0	0	6	3	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	0	0	2	-	-	-	-	-	-	2	0	0	-	-	-
57	2	0	0	0	4	0	0	2	0	4	0	0	2	2	0	-	-	-	-	-	-	0	0	0	0	2	0	2	0	0	-	-	-	0	0	4	0	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
58	0	0	8	0	4	0	0	2	0	0	0	0	-	-	-	-	-	-	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	2	3	0	2	-	-	-	-	-	-	0	2	0
59	0	6	0	0	0	0	0	2	0	0	3	0	2	0	0	0	0	2	0	7	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	5	2	0	0	0	2	0
60	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	-	-	-	-	-	-	0	0	2	0	0	2	0	0	0	2	0	0	0	2	2
61	-	-	-	-	-	-	0	2	3	5	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2	2	4	0	-	-	-	0	0	0	0	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
62	0	0	2	0	8	0	3	0	0	-	-	-	0	0	0	-	-	-	0	0	2	0	0	0	0	0	0	-	-	-	-	-	-	0	0	0	-	-	-	0	0	2	-	-	-	-	-	-	2	0	6	0	2	0
63	0	0	0	9	0	0	0	2	3	2	0	0	2	0	0	0	0	2	0	2	0	-	-	-	0	2	0	2	0	0	-	-	-	0	0	0	0	0	0	0	0	2	0	0	2	-	-	-	-	-	-	0	2	4
64	4	5	0	0	0	0	0	4	0	0	0	0	7	0	0	2	0	2	0	0	3	0	0	0	0	6	0	0	0	0	-	-	-	-	-	-	3	0	0	0	0	2	0	0	2	0	0	0	2	0	0	2	2	0
65	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	-	-	-	0	0	0	0	0	0	6	7	6	2	0	0	-	-	-	0	0	0	3	0	0	0	0	2	3	0	2	-	-	-	2	0	0	0	2	0
66	0	0	0	0	4	0	0	2	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	0	2	-	-	-	2	0	0	0	2	0
67	-	-	-	0	0	0	-	-	-	-	-	-	-	-	-	2	0	2	0	0	0	0	0	0	-	-	-	0	0	0	-	-	-	5	0	0	-	-	-	0	0	2	-	-	-	-	-	-	-	-	-	-	-	-
68	0	6	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	-	-	-	0	0	0	0	0	0	0	0	0	-	-	-	5	0	0	3	0	0	0	0	2	0	0	2	-	-	-	2	0	6	0	2	0
69	0	0	0	0	0	0	0	2	2	2	0	0	-	-	-	0	0	2	0	0	0	0	0	0	0	2	0	-	-	-	-	-	-	0	0	0	0	4	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
70	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	-	-	-	0	4	0	0	2	0	2	0	0	-	-	-	0	0	0	0	0	0	0	0	2	0	0	2	-	-	-	2	0	7	0	2	0
71	-	-	-	0	0	0	0	0	0	0	0	2	-	-	-	2	0	2	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	2	0	0	2	0	0	0	-	-	-	0	2	0
72	0	0	0	0	0	0	3	5	0	-	-	-	0	0	0	0	0	2	-	-	-	0	0	0	0	0	0	2	0	0	-	-	-	2	0	0	0	0	0	0	0	2	-	-	-	-	-	-	2	2	2	0	2	0
73	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	-	-	-	0	0	0	0	0	3	2	0	0	-	-	-	-	-	-	3	0	0	0	0	2	-	-	-	0	0	0	2	0	0	0	2	0
74	0	0	0	0	4	5	0	2	0	0	7	9	2	0	0	0	0	2	-	-	-	0	0	0	0	2	0	-	-	-	-	-	-	0	0	0	0	0	3	0	0	2	0	0	2	-	-	-	2	6	0	0	2	0
75	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	3	0	0	8	0	0	0	0	0	0	-	-	-	-	-	-	3	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0
76	3	4	0	5	0	0	0	0	0	-	-	-	0	2	0	0	0	0	0	0	0	-	-	-	3	5	7	2	0	0	3	0	0	0	0	4	0	0	0	0	0	2	0	3	0	-	-	-	0	0	0	0	2	0
77	0	0	0	0	4	0	0	2	3	0	0	0	-	-	-	0	0	2	0	0	0	-	-	-	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	-	-	-	-	-	-	0	2	0
78	0	0	0	0	0	3	0	2	3	0	0	0	0	0	0	0	0	2	0	0	7	-	-	-	2	2	2	2	0	6	3	0	0	0	0	0	0	0	4	0	0	2	7	5	2	-	-	-	2	0	5	2	2	0
79	7	0	0	0	0	0	0	0	0	-	-	-	2	0	0	-	-	-	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	-	-	-	0	0	2	-	-	-	0	0	0	2	0	0	-	-	-
80	0	0	0	6	3	0	0	0	3	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	-	-	-	3	0	0	0	0	2	-	-	-	-	-	-	-	-	-	0	2	0
81	3	4	6	5	0	0	0	6	0	-	-	-	0	2	0	0	0	0	0	0	0	2	0	0	3	5	0	0	0	0	3	0	0	-	-	-	0	0	0	0	0	2	0	3	0	-	-	-	3	0	0	2	2	2
82	3	4	0	5	0	0	0	0	0	-	-	-	4	2	0	0	0	0	0	8	0	2	0	0	3	5	0	0	0	0	-	-	-	6	0	0	0	0	0	0	0	2	0	3	0	0	0	0	-	-	-	0	2	0
83	0	0	0	10	9	0	3	7	0	-	-	-	0	0	0	0	0	2	0	0	2	0	5	0	0	8	0	2	0	0	-	-	-	2	0	0	-	-	-	0	0	2	-	-	-	-	-	-	-	-	-	0	2	0
84	0	0	0	0	0	0	6	0	0	0	0	0	4	4	0	0	0	2	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	-	-	-	-	-	-	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0
